,Xc1,Yc1,Xc2,Yc2,Xc3,Yc3,Xc4,Yc4,Xc5,Yc5,Xc6,Yc6,Xc7,Yc7,Xc8,Yc8,Xc9,Yc9,Xc10,Yc10,Xc11,Yc11,Xc12,Yc12,Xc13,Yc13,Xc14,Yc14,Xc15,Yc15,Xc16,Yc16,label
22,0,0,5,4,5,1,0,0,0,0,0,2,2,2,0,0,0,0,3,4,4,2,6,0,0,0,0,3,0,2,0,0,2
23,0,0,5,4,5,1,0,0,5,5,2,2,2,2,4,0,2,5,3,1,5,4,2,1,0,6,0,3,0,2,0,0,0
24,0,0,6,3,6,0,0,0,1,5,0,2,2,2,0,0,0,0,3,4,3,2,5,0,0,0,0,4,0,2,0,0,2
25,0,0,5,3,5,2,6,0,0,0,4,4,3,2,0,0,0,0,6,6,3,4,1,0,2,4,1,3,0,1,0,0,3
26,0,0,4,5,3,0,0,0,0,0,3,4,3,2,6,0,0,0,2,4,2,2,1,0,0,0,0,5,0,0,0,0,6
27,0,0,0,0,6,2,0,0,0,0,3,4,2,2,0,0,0,0,3,5,1,0,0,0,0,0,1,2,0,0,0,0,9
28,0,0,0,0,6,2,0,0,0,0,3,4,2,2,0,0,0,0,1,4,2,1,0,0,0,0,2,5,1,0,0,0,9
29,0,0,0,0,0,0,0,0,2,5,1,2,2,3,0,0,0,0,0,0,3,2,0,0,0,0,3,6,2,1,0,0,7
30,0,0,0,0,5,3,5,0,0,0,3,5,3,2,1,0,5,6,2,2,3,0,0,0,0,6,1,3,0,0,0,0,8
31,0,0,6,5,6,0,0,0,0,0,2,3,3,2,0,0,0,0,3,2,2,2,0,0,0,0,0,0,1,3,0,0,9
32,0,0,5,4,0,0,5,1,0,0,3,3,4,3,2,0,2,5,1,1,3,3,0,0,0,0,1,5,1,0,0,0,4
33,0,0,0,0,6,3,0,0,0,0,3,3,2,3,1,0,0,0,2,4,2,1,0,0,0,0,1,5,1,0,0,0,9
34,0,0,0,0,0,0,0,0,0,0,1,2,4,1,5,2,0,0,3,3,2,2,0,1,0,0,0,4,0,0,0,0,2
35,0,0,5,5,4,0,0,0,0,0,2,5,4,0,0,0,0,0,2,5,3,0,0,0,0,0,0,6,0,1,0,0,1
36,0,0,5,4,5,0,0,0,0,0,1,4,2,2,0,0,6,6,1,3,2,2,0,0,0,6,1,2,1,2,0,0,3
37,0,0,6,3,5,1,0,0,0,0,4,6,2,0,0,0,0,0,3,5,1,0,0,0,0,0,0,4,0,0,0,0,1
38,0,0,0,0,5,2,0,0,0,0,6,6,3,1,0,0,0,0,3,5,1,0,0,0,0,0,0,3,0,0,0,0,1
39,0,0,0,0,5,5,5,0,0,0,3,3,3,4,5,0,2,6,1,2,2,1,0,0,0,0,1,6,1,0,0,0,4
40,0,0,5,5,5,1,0,0,0,0,2,4,3,2,0,0,0,0,5,2,2,2,0,0,0,0,1,3,0,0,0,0,9
41,0,0,4,6,5,0,0,0,0,0,3,6,3,0,0,0,0,0,3,5,2,0,0,0,0,0,0,5,0,0,0,0,1
42,0,0,5,2,5,6,5,0,5,6,2,1,3,5,0,0,1,6,1,2,2,3,2,0,0,0,0,0,1,2,0,0,4
43,0,0,0,0,5,4,5,0,5,5,3,2,2,2,2,0,1,4,3,2,3,2,5,0,0,0,2,6,1,0,0,0,4
44,0,0,6,4,6,0,0,0,0,6,1,3,3,0,0,0,0,0,2,4,2,2,3,1,0,0,0,0,0,0,0,0,2
45,0,0,5,6,4,3,2,0,0,0,3,4,1,0,0,0,0,0,2,3,3,2,0,0,0,0,0,4,0,1,0,0,6
46,0,0,5,5,5,2,0,0,0,0,5,4,1,2,0,0,0,0,1,3,3,2,0,0,0,0,2,3,1,2,0,0,3
47,0,0,0,0,0,0,0,0,1,5,0,3,3,2,0,0,0,0,6,6,3,2,0,0,0,0,3,5,1,0,0,0,7
48,0,0,0,0,0,0,0,0,0,0,3,4,1,3,1,0,0,0,5,5,2,1,0,0,0,0,2,3,0,0,0,0,7
49,0,0,6,3,6,5,6,0,0,0,3,3,3,4,4,0,1,6,1,2,2,2,0,0,0,0,2,5,1,0,0,0,4
50,0,0,0,0,0,0,0,0,0,0,1,2,2,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,1,0,0,7
51,0,0,5,3,5,2,6,0,4,6,3,2,3,2,5,0,0,0,2,2,2,4,3,0,0,0,0,4,0,3,0,0,5
52,0,0,0,0,5,1,0,0,0,0,4,6,2,0,0,0,0,0,3,5,2,0,0,0,0,0,0,5,0,0,0,0,1
53,0,0,6,4,6,0,0,0,0,0,2,2,3,1,0,0,0,0,1,3,2,2,0,0,0,0,0,0,1,4,0,0,9
54,0,0,5,5,5,2,6,0,0,0,3,3,0,3,3,0,3,5,3,1,4,4,2,0,0,6,0,3,0,1,0,0,0
55,0,0,0,0,0,0,0,0,0,0,1,4,4,0,0,0,0,0,2,3,2,2,3,2,0,0,0,0,0,0,0,0,2
56,5,6,5,2,6,0,0,0,0,6,0,3,3,1,0,0,0,0,3,3,3,2,4,1,0,0,0,0,0,0,0,0,2
57,5,6,5,2,5,1,0,0,0,6,1,3,2,2,0,0,0,0,0,4,2,4,0,0,2,5,2,3,0,1,0,0,3
58,0,0,0,0,0,0,0,0,0,0,4,3,2,3,0,0,0,0,2,4,1,1,0,0,0,0,2,3,0,0,0,0,9
59,0,0,0,0,5,2,0,0,0,0,5,5,2,0,0,0,0,0,3,5,1,0,0,0,0,0,1,5,2,0,0,0,1
60,0,0,4,4,0,0,0,0,0,0,2,5,4,0,0,0,0,0,4,4,3,2,6,0,0,0,0,5,0,3,0,0,1
61,6,4,0,0,6,6,6,0,0,0,6,5,3,3,1,0,5,6,3,3,0,0,0,0,0,5,0,0,0,0,0,0,1
62,0,0,6,6,6,0,0,0,4,6,2,2,1,3,2,1,0,6,1,3,4,1,0,0,0,0,2,4,1,1,0,0,5
63,0,0,0,0,6,4,6,0,5,6,3,3,0,2,3,1,2,5,4,2,3,3,0,0,0,0,0,3,0,0,0,0,0
64,0,0,5,5,4,1,0,0,0,0,3,3,2,1,0,0,0,0,2,3,2,3,2,0,0,0,0,5,0,2,0,0,6
65,0,0,5,4,5,1,0,0,0,0,3,4,2,1,0,0,0,0,1,4,3,2,0,0,0,0,1,4,0,1,0,0,3
66,0,0,5,2,6,5,0,0,2,6,3,1,3,4,0,0,0,0,1,4,2,2,0,0,0,0,0,0,1,1,0,0,4
67,0,0,5,3,5,0,0,0,3,5,3,2,3,1,0,0,0,6,2,4,2,3,4,0,0,0,0,5,1,3,0,0,8
68,0,0,0,0,5,2,0,0,0,0,4,5,2,1,0,0,0,0,3,5,1,0,0,0,0,0,0,3,0,0,0,0,1
69,0,0,5,5,4,1,0,0,0,0,3,4,3,3,0,0,0,0,2,3,3,4,0,0,0,0,1,4,0,1,0,0,0
70,0,0,5,5,5,2,0,0,0,0,1,4,3,3,0,0,5,5,1,3,2,2,0,0,0,5,1,2,0,0,0,0,3
71,0,0,0,0,6,1,0,0,0,0,3,3,2,1,0,0,0,0,0,3,2,1,0,0,0,0,3,6,1,0,0,0,9
72,0,0,4,4,3,0,0,0,4,5,2,1,5,3,5,1,1,5,3,3,3,2,1,1,0,0,0,4,0,0,0,0,6
73,0,0,5,3,4,2,0,0,0,0,0,3,2,3,4,0,5,4,5,2,3,3,0,0,0,4,0,3,0,1,0,0,2
74,0,0,0,0,4,4,0,0,0,0,4,5,2,1,0,0,0,0,3,3,3,1,0,0,0,0,0,4,0,0,0,0,6
75,0,0,0,0,0,0,5,1,0,0,4,3,4,5,1,0,3,5,1,3,2,1,0,0,0,0,0,5,0,0,0,0,4
76,0,0,6,3,0,0,0,0,3,4,2,3,3,2,0,0,0,0,2,4,2,1,0,0,0,0,2,5,1,0,3,1,7
77,0,0,0,0,5,1,0,0,0,0,4,5,2,0,0,0,0,0,2,5,3,0,0,0,0,0,0,6,1,0,0,0,1
78,0,0,6,3,0,0,0,0,0,0,3,1,3,4,0,0,0,0,0,3,2,2,0,0,0,0,0,0,1,1,0,0,4
79,0,0,0,0,5,2,0,0,0,0,6,6,2,1,0,0,0,0,3,5,2,0,0,0,0,0,0,5,0,0,0,0,1
80,0,0,0,0,0,0,0,0,0,0,4,5,3,2,1,1,3,6,3,3,2,1,0,0,0,0,0,2,0,0,0,0,5
81,0,0,0,0,5,5,5,0,0,0,4,3,3,4,2,1,1,5,1,3,2,2,0,1,0,0,0,5,0,0,0,0,4
82,0,0,5,5,5,2,5,0,0,0,1,5,3,2,1,0,0,0,3,3,2,1,0,0,0,0,1,2,0,0,0,0,8
83,0,0,6,5,6,1,0,0,0,0,3,3,3,3,0,0,0,0,1,5,2,1,0,0,0,0,2,5,1,0,0,0,9
84,0,0,5,4,5,1,0,0,0,0,0,2,2,3,0,0,0,0,5,3,3,1,0,0,0,0,0,3,0,2,0,0,2
85,0,0,6,5,6,0,0,0,0,0,3,3,3,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,1,2,0,0,9
86,0,0,0,0,0,0,0,0,0,0,3,3,3,3,2,0,0,0,1,3,1,1,0,0,0,0,2,4,0,0,0,0,9
87,0,0,5,4,5,1,0,0,2,6,3,2,2,3,3,0,0,0,2,2,3,3,6,0,0,0,0,4,2,3,0,0,8
88,0,0,0,0,0,0,0,0,0,0,3,3,2,3,0,0,0,0,0,3,2,2,0,0,0,0,4,6,2,0,0,0,9
89,4,6,4,0,0,0,0,0,2,6,3,0,4,4,4,0,0,6,2,2,3,2,1,1,0,0,0,0,0,3,0,0,6
90,6,6,5,3,5,0,0,0,0,6,2,4,4,2,0,0,0,0,1,3,2,5,3,0,0,0,1,4,1,3,0,0,3
91,0,0,6,6,4,3,2,0,0,0,3,3,3,2,6,0,3,6,3,2,2,2,0,0,0,0,0,3,0,0,0,0,6
92,0,0,5,4,6,3,0,0,0,0,3,2,2,3,0,0,0,0,1,3,2,1,0,0,0,0,0,0,1,1,0,0,4
93,0,0,5,5,4,0,0,0,0,0,2,4,0,0,0,0,0,0,3,4,3,2,0,0,0,0,0,5,0,0,0,0,6
94,0,0,6,4,0,0,0,0,2,5,2,2,3,3,5,0,3,5,2,2,2,3,3,1,0,0,0,0,0,0,0,0,2
95,0,0,0,0,0,0,0,0,0,0,4,3,2,2,1,0,0,0,5,5,2,1,0,0,0,0,2,4,0,0,0,0,9
96,0,0,0,0,5,2,0,0,0,0,5,6,2,1,0,0,0,0,3,5,1,0,0,0,0,0,1,5,1,0,0,0,1
97,5,6,5,3,5,1,0,0,1,5,1,1,2,5,3,0,0,0,3,3,3,2,6,0,0,0,0,3,0,3,0,1,2
98,0,0,0,0,6,4,6,0,0,0,4,4,1,2,2,1,4,5,3,2,3,3,0,0,0,5,0,2,0,0,0,0,0
99,0,0,5,4,5,3,5,0,0,0,2,3,3,2,0,0,4,5,4,2,2,3,2,0,0,5,0,3,0,1,0,0,5
100,0,0,0,0,6,3,0,0,5,5,3,2,2,4,2,0,0,5,2,2,2,1,0,0,0,0,2,5,0,0,0,0,9
101,5,6,4,3,4,2,0,0,0,0,5,5,3,2,0,0,0,0,3,3,4,1,5,1,0,0,0,4,0,3,0,1,2
102,0,0,0,0,0,0,0,0,5,5,3,2,2,3,3,0,0,5,3,3,2,2,2,1,0,0,2,3,0,0,0,0,7
103,0,0,0,0,0,0,0,0,0,0,1,2,2,2,0,0,0,0,0,0,2,1,0,0,0,0,3,6,2,0,0,0,7
104,0,0,0,0,5,4,5,0,6,6,5,3,2,3,2,0,2,5,3,2,2,1,0,0,0,0,0,0,1,3,0,0,2
105,0,0,6,5,5,3,5,0,0,0,3,4,2,4,1,0,6,6,3,3,2,1,0,0,0,6,1,2,0,0,0,0,8
106,0,0,0,0,5,3,0,0,0,0,3,3,2,3,0,0,0,0,2,4,3,0,0,0,0,0,0,4,0,0,0,0,8
107,0,0,5,3,4,1,0,0,0,0,3,2,5,2,0,0,0,0,2,2,2,5,4,0,0,0,0,4,0,3,0,0,5
108,0,0,5,5,5,1,0,0,0,0,2,3,2,3,3,0,0,0,3,2,3,3,1,0,0,0,1,4,1,1,0,0,0
109,0,0,6,6,4,2,0,0,0,0,3,4,3,2,6,0,0,0,3,3,2,2,1,0,0,0,0,3,0,0,0,0,6
110,0,0,5,4,5,2,0,0,4,5,2,2,2,3,3,0,2,5,3,2,4,3,2,0,0,5,0,3,0,2,0,0,0
111,0,0,6,6,4,2,0,0,0,0,3,4,2,3,0,0,0,0,3,1,3,3,0,0,0,0,0,3,0,0,0,0,0
112,0,0,4,3,5,0,0,0,0,0,0,3,2,2,0,0,0,0,3,2,2,2,0,0,0,0,0,4,0,0,0,0,2
113,0,0,6,3,6,0,0,0,0,0,2,1,3,1,0,0,0,0,0,4,2,2,0,0,0,0,0,0,2,4,0,0,9
114,0,0,5,4,5,2,5,0,0,0,3,3,0,2,3,1,3,5,1,0,4,4,1,0,0,5,1,2,0,0,0,0,0
115,0,0,6,0,6,3,0,0,4,5,2,0,3,3,0,0,0,5,0,3,2,3,0,0,0,0,0,0,1,4,0,0,4
116,0,0,0,0,0,0,0,0,3,5,2,2,3,3,3,0,0,0,5,5,2,2,0,0,0,0,2,2,0,0,0,0,7
117,0,0,6,4,6,3,6,0,0,0,1,3,2,3,0,0,0,0,4,4,1,0,0,0,3,5,1,1,0,0,0,0,7
118,0,0,5,5,5,0,0,0,0,0,3,5,3,0,0,0,0,0,3,5,3,0,0,0,0,0,0,5,0,0,0,0,1
119,0,0,5,4,5,1,0,0,0,0,3,3,4,1,0,0,0,0,0,3,2,3,0,0,0,0,1,3,1,1,0,0,5
120,0,0,0,0,0,0,0,0,3,4,3,3,3,3,2,0,0,4,0,0,3,4,0,0,0,0,0,0,2,3,0,0,7
121,0,0,0,0,0,0,0,0,5,6,3,3,2,3,3,1,0,0,1,4,2,2,0,0,0,0,2,2,0,0,0,0,9
122,0,0,0,0,5,5,5,0,6,6,3,3,3,4,0,0,1,6,2,2,3,2,0,0,0,0,1,6,1,0,0,0,4
123,0,0,3,2,0,0,0,0,0,0,3,2,5,3,0,0,0,0,2,4,3,2,0,0,0,0,0,0,0,0,0,0,6
124,0,0,0,0,5,5,5,0,0,0,5,5,3,3,0,0,0,0,3,4,0,0,0,0,0,0,1,2,0,0,0,0,1
125,0,0,0,0,4,2,6,0,0,0,6,5,3,2,0,0,2,6,2,2,2,3,0,0,0,0,0,4,0,1,0,0,5
126,0,0,6,4,6,0,0,0,0,0,0,4,3,2,0,0,0,0,4,5,2,1,0,0,0,0,1,4,0,0,0,0,7
127,0,0,5,5,4,2,3,0,0,0,2,3,0,0,0,0,0,0,3,3,3,3,5,0,0,0,0,5,0,3,0,0,6
128,0,0,0,0,6,4,5,0,0,0,4,5,2,2,0,0,3,5,3,2,3,3,0,0,0,0,0,4,0,0,0,0,5
129,0,0,6,5,5,3,5,0,0,0,3,4,1,0,2,1,4,5,2,0,5,5,2,0,0,5,0,1,1,3,0,0,0
130,0,0,5,0,5,6,5,0,4,5,2,0,4,5,2,0,1,5,2,2,2,3,0,0,0,0,0,0,1,3,0,0,4
131,0,0,5,4,5,0,0,0,3,5,3,2,4,2,5,0,0,0,5,5,2,2,0,1,0,0,1,5,1,1,0,0,8
132,0,0,6,3,6,2,0,0,0,0,1,3,2,2,6,1,0,0,3,3,1,2,0,1,2,6,1,1,0,0,0,0,7
133,0,0,5,5,4,1,0,0,0,0,3,4,3,1,0,0,0,0,2,4,3,2,0,0,0,0,0,4,0,1,0,0,6
134,0,0,0,0,5,3,0,0,0,0,5,5,2,2,0,0,0,0,3,4,1,0,0,0,0,0,1,2,0,0,0,0,1
135,0,0,0,0,5,3,0,0,0,0,4,6,3,2,0,0,0,0,3,4,1,0,0,0,0,0,1,4,0,0,0,0,8
136,0,0,0,0,0,0,0,0,2,5,2,2,2,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,1,0,0,7
137,0,0,4,3,5,1,0,0,0,0,4,4,3,1,0,0,5,5,0,0,3,4,0,0,0,5,1,2,0,1,0,0,3
138,0,0,0,0,0,0,0,0,3,5,2,3,3,3,0,0,0,6,0,0,3,3,0,0,0,0,4,6,2,1,0,0,7
139,0,0,4,3,5,1,0,0,0,0,4,1,3,4,0,0,5,5,1,3,2,2,0,0,0,5,1,2,1,2,0,0,3
140,0,0,5,5,5,0,0,0,0,0,2,5,2,0,0,0,0,0,3,5,2,0,0,0,0,0,0,5,0,0,0,0,1
141,0,0,0,0,5,3,5,0,6,6,4,3,2,3,3,1,3,5,3,2,3,3,0,0,0,5,0,3,0,0,0,0,0
142,0,0,4,4,5,1,0,0,0,0,5,6,3,1,0,0,0,0,2,4,3,1,0,0,0,0,1,4,0,0,0,0,3
143,0,0,0,0,0,0,5,2,6,6,4,2,4,4,1,1,1,6,3,3,1,1,0,0,0,0,0,1,0,0,0,0,4
144,0,0,0,0,0,0,0,0,0,0,4,3,1,2,0,1,5,6,2,3,3,1,0,0,0,6,0,3,0,0,0,0,5
145,0,0,0,0,0,0,5,1,0,0,4,4,3,5,1,0,2,6,1,2,2,1,0,0,0,0,1,5,0,0,0,0,4
146,0,0,0,0,5,2,0,0,0,0,4,4,2,2,5,0,0,0,2,2,3,4,1,0,0,0,0,3,0,1,0,0,0
147,0,0,6,5,6,0,0,0,0,0,3,4,2,2,2,1,2,5,3,2,3,1,0,0,0,0,0,3,0,1,0,0,5
148,0,0,0,0,6,6,5,2,0,0,4,2,3,3,0,0,1,6,2,3,1,2,0,0,0,0,1,2,0,0,0,0,4
149,0,0,0,0,6,5,6,0,0,0,4,4,2,2,2,0,4,5,1,3,3,3,0,0,0,5,0,2,0,0,0,0,0
150,0,0,4,4,5,0,0,0,0,0,4,4,2,1,0,0,0,0,4,3,3,4,0,0,0,0,0,4,0,0,0,0,3
151,0,0,0,0,6,3,6,1,0,0,3,4,1,2,0,1,4,5,3,2,2,1,0,0,0,5,0,3,0,0,0,0,5
152,0,0,0,0,5,2,0,0,0,0,5,5,2,1,0,0,0,0,3,4,1,0,0,0,0,0,1,3,0,0,0,0,1
153,0,0,5,5,5,2,0,0,0,0,3,3,2,4,4,0,4,6,2,0,3,5,1,0,0,6,0,3,0,1,0,0,0
154,0,0,5,5,4,2,5,0,0,0,2,3,3,4,0,0,0,0,3,4,2,1,0,0,0,0,1,3,0,0,0,0,8
155,6,6,5,3,5,2,0,0,0,5,1,3,2,2,0,0,6,6,4,2,2,4,2,0,0,6,1,3,0,1,0,0,3
156,0,0,0,0,0,0,0,0,0,0,1,3,2,3,4,0,0,0,5,5,2,2,0,0,0,0,2,3,0,0,0,0,7
157,0,0,5,5,5,3,5,0,0,0,3,4,2,4,2,0,4,5,2,1,3,3,0,0,0,5,0,2,0,0,0,0,0
158,0,0,0,0,0,0,0,0,0,0,3,2,3,1,0,0,0,0,0,3,3,2,0,0,0,0,0,0,2,1,0,0,9
159,0,0,4,4,4,0,0,0,5,6,3,2,5,3,5,0,1,6,3,3,2,2,2,0,0,0,0,4,0,1,0,0,6
160,0,0,0,0,4,2,0,0,0,0,4,5,2,1,0,0,0,0,2,4,2,2,0,0,0,0,0,5,0,0,0,0,6
161,0,0,6,5,6,1,0,0,0,0,2,4,2,3,0,0,0,0,1,5,2,1,0,0,0,0,2,5,1,0,0,0,9
162,0,0,0,0,0,0,0,0,0,0,3,4,2,2,1,1,5,6,3,3,3,1,0,0,0,6,0,2,0,0,0,0,5
163,0,0,6,5,0,0,0,0,0,0,3,3,3,4,0,0,0,0,0,2,2,2,0,0,0,0,2,5,1,0,0,0,4
164,0,0,0,0,4,4,0,0,0,0,5,5,1,1,0,0,0,0,2,4,3,0,0,0,0,0,0,4,0,0,0,0,6
165,0,0,6,5,6,1,0,0,0,0,2,2,3,3,0,0,0,0,0,3,2,1,0,0,0,0,2,5,1,0,0,0,9
166,0,0,5,5,5,1,0,0,0,0,1,3,2,2,0,0,0,0,1,5,3,0,0,0,0,0,1,3,0,0,0,0,3
167,0,0,5,4,5,2,0,0,0,0,3,4,2,2,0,0,0,0,1,4,2,3,0,0,0,0,1,3,1,2,0,0,5
168,5,6,5,0,6,6,0,0,3,6,2,0,3,4,3,0,1,5,3,2,2,3,1,0,0,0,0,0,1,5,2,0,4
169,6,6,5,3,5,2,6,0,0,6,0,2,2,4,2,0,4,5,3,3,2,2,3,0,0,5,0,2,0,0,0,0,2
170,0,0,6,6,5,1,6,3,6,6,3,3,3,2,2,1,0,6,2,3,1,1,0,0,0,0,0,2,0,0,0,0,4
171,0,0,5,5,5,1,0,0,0,0,3,3,2,2,0,0,0,0,3,4,3,1,0,0,0,0,1,3,1,1,0,0,8
172,0,0,6,4,6,2,6,0,0,0,0,3,2,4,1,0,0,0,4,4,1,1,0,0,3,5,1,1,0,0,0,0,7
173,0,0,6,3,6,1,0,0,0,0,0,3,2,2,0,0,0,0,1,3,2,1,0,0,0,0,2,5,1,0,0,0,7
174,0,0,6,5,6,3,6,0,0,0,3,5,1,2,1,1,5,5,3,4,3,1,0,0,0,5,0,3,0,0,0,0,5
175,0,0,6,5,6,1,0,0,0,0,2,2,2,2,0,0,0,0,2,4,3,1,0,0,0,0,1,5,2,4,0,0,8
176,5,5,5,3,5,1,0,0,1,5,2,2,2,2,0,0,0,0,3,4,1,3,4,0,0,0,1,4,1,2,0,0,8
177,0,0,5,6,5,1,0,0,0,0,3,5,2,3,2,0,4,5,2,3,2,0,0,0,0,0,0,3,0,0,0,0,8
178,0,0,4,3,4,1,0,0,0,0,0,0,2,3,0,0,5,5,5,3,3,2,0,0,0,5,0,2,0,1,0,0,2
179,6,6,4,2,0,0,0,0,3,6,3,2,4,2,6,0,0,6,2,3,3,2,3,1,0,0,0,5,0,3,0,1,6
180,0,0,6,5,6,1,0,0,0,0,2,3,2,3,0,0,0,0,2,3,2,1,0,0,0,0,2,5,0,0,0,0,9
181,6,6,4,3,4,1,0,0,0,5,4,4,3,1,0,0,6,6,4,0,2,5,3,0,0,6,1,3,0,2,0,0,3
182,0,0,0,0,5,3,0,0,0,0,6,6,3,1,0,0,0,0,4,5,1,0,0,0,0,0,0,4,0,0,0,0,1
183,0,0,5,3,6,0,0,0,4,5,1,2,1,3,4,1,0,5,3,2,5,3,3,1,0,0,0,5,0,3,0,0,0
184,0,0,6,4,6,6,6,0,5,6,3,2,4,3,1,0,0,6,2,3,1,1,0,0,0,0,1,4,0,0,0,0,4
185,0,0,0,0,5,4,0,0,0,0,5,5,2,2,0,0,0,0,3,4,1,0,0,0,0,0,0,3,0,0,0,0,1
186,0,0,5,5,5,3,5,0,0,0,3,4,0,2,0,0,0,0,2,3,4,1,0,0,0,0,0,3,0,1,0,0,5
187,0,0,0,0,6,3,6,0,5,5,3,3,3,3,2,0,1,5,1,2,2,2,0,0,0,0,2,5,1,1,0,0,9
188,0,0,6,6,5,3,5,0,0,0,3,3,1,3,2,0,4,5,2,1,3,3,0,0,0,5,0,3,0,0,0,0,0
189,0,0,4,4,2,0,0,0,0,0,2,2,6,4,6,0,0,0,2,3,2,2,2,0,0,0,0,0,0,0,0,0,6
190,0,0,0,0,5,2,0,0,0,0,2,5,2,1,0,0,0,0,3,3,2,0,0,0,0,0,0,1,0,1,0,0,2
191,0,0,4,5,5,0,0,0,0,0,3,4,2,0,0,0,0,0,1,2,3,2,0,0,0,0,0,0,0,4,1,0,1
192,0,0,0,0,0,0,0,0,0,0,1,3,3,1,0,0,0,0,1,5,2,1,0,0,0,0,3,5,1,0,0,0,3
193,0,0,5,5,5,1,0,0,0,0,2,2,2,3,0,0,0,0,2,1,2,5,2,0,0,0,1,4,1,2,0,0,0
194,0,0,5,5,5,2,6,0,0,0,2,3,2,4,0,0,0,0,3,3,2,3,2,0,0,0,0,4,0,1,0,0,6
195,0,0,0,0,5,4,5,1,6,6,4,3,0,2,2,1,3,5,4,2,3,3,0,0,0,6,0,2,0,0,0,0,0
196,0,0,5,4,5,0,0,0,0,0,2,2,2,3,6,0,0,0,3,2,3,5,3,0,0,0,0,4,0,2,0,0,0
197,0,0,0,0,5,3,0,0,2,5,3,3,2,2,0,0,0,0,1,4,4,2,5,0,0,0,0,6,0,3,0,0,8
198,5,5,5,3,5,1,0,0,1,5,2,3,2,2,0,0,0,0,3,4,1,3,4,0,0,0,1,5,1,2,0,0,3
199,0,0,5,5,4,3,0,0,0,0,1,5,2,3,0,0,0,0,3,3,2,2,0,0,0,0,0,1,0,3,0,0,2
200,0,0,5,5,4,0,0,0,0,0,3,3,2,3,5,0,2,6,2,1,4,5,1,0,0,0,0,3,0,1,0,0,0
